Name;Price;Discounted Price;Discount (%);Quantity;Units of Measurement;Category;Subcategory
tagliatelle all'uovo;2.59;0.75;71.04;250;g;pasta e riso;pasta all'uovo secca
fettuccine all'uovo;1.39;0.75;46.04;250;g;pasta e riso;pasta all'uovo secca
barilla, emiliane fettuccine n.175 pasta all'uovo;2.19;1.08;50.68;250;g;pasta e riso;pasta all'uovo secca
barilla - emiliane, pappardelle ricce all'uovo;1.79;0.71;60.34;250;g;pasta e riso;pasta all'uovo secca
pappardelle all'uovo;1.26;0.59;53.17;250;g;pasta e riso;pasta all'uovo secca
fillo rettangolare;2.4;1.75;27.08;300;g;pasta e riso;pasta all'uovo secca
tripolini 181 pasta all'uovo;0.55;0.49;10.91;250;g;pasta e riso;pasta all'uovo secca
taglioline 295 pasta all'uovo;0.89;0.88;1.12;250;g;pasta e riso;pasta all'uovo secca
tagliatelle larghe 299 pasta all'uovo;0.89;0.88;1.12;250;g;pasta e riso;pasta all'uovo secca
tagliatelle 298 pasta all'uovo;0.89;0.88;1.12;250;g;pasta e riso;pasta all'uovo secca
stelline 120 pasta all'uovo;0.55;0.49;10.91;250;g;pasta e riso;pasta all'uovo secca
sorprese 183 pasta all'uovo;0.55;0.49;10.91;250;g;pasta e riso;pasta all'uovo secca
risina 117 pasta all'uovo;0.55;0.49;10.91;250;g;pasta e riso;pasta all'uovo secca
quadretti 188 pasta all'uovo;0.55;0.49;10.91;250;g;pasta e riso;pasta all'uovo secca
pappardelle 402 pasta all'uovo;0.89;0.88;1.12;250;g;pasta e riso;pasta all'uovo secca
lasagne gialle 204 pasta all'uovo;1.69;1.3;23.08;500;g;pasta e riso;pasta all'uovo secca
filini 122 pasta all'uovo;0.55;0.49;10.91;250;g;pasta e riso;pasta all'uovo secca
luciana mosconi, tagliatelle pasta all'uovo;2.49;1.79;28.11;500;g;pasta e riso;pasta all'uovo secca
luciana mosconi, fettuccine pasta all'uovo;2.49;1.79;28.11;500;g;pasta e riso;pasta all'uovo secca
tagliatelle all'uovo ecor;1.99;1.39;30.15;250;g;pasta e riso;pasta all'uovo secca
bio farro integrale penne rigate n°41;2.99;;;500;g;pasta e riso;pasta all'uovo secca
fettuccine n° 303 all'uovo;2.59;2.19;15.44;500;g;pasta e riso;pasta all'uovo secca
pasta all'uovo lasagne n.32;3.33;2.49;25.23;250;g;pasta e riso;pasta all'uovo secca
fettuccine pasta all'uovo;4.29;0.83;80.65;250;g;pasta e riso;pasta all'uovo secca
lasagne all'uovo;1.08;0.99;8.33;500;g;pasta e riso;pasta all'uovo secca
tagliatelle larghe 289 pasta all'uovo;1.5;1.45;3.33;500;g;pasta e riso;pasta all'uovo secca
tagliatelle 288 pasta all'uovo;1.5;1.45;3.33;500;g;pasta e riso;pasta all'uovo secca
barilla penne rigate n.73 cello;1.49;0.77;48.32;1000;g;pasta e riso;pasta di semola corta
voiello farfalle n°192;1.25;0.69;44.8;500;g;pasta e riso;pasta di semola corta
rummo fusilli n° 48;1.49;0.79;46.98;500;g;pasta e riso;pasta di semola corta
voiello n° 154 mezze penne rigate;1.3;0.65;50.0;500;g;pasta e riso;pasta di semola corta
barilla senza glutine fusilli;1.44;1.0;30.56;400;g;pasta e riso;pasta di semola corta
voiello penne rigate n° 152;1.49;0.65;56.38;500;g;pasta e riso;pasta di semola corta
