Name;Full Price;Current Price;Quantity;Category;Subcategory
VERMENTINO DOC;6,39;5,40;750 ml;Vino, Birra e Alcolici;Vini Bianchi
SOAVE DOC;3,60;2,49;750 ml;Vino, Birra e Alcolici;Vini Bianchi
Moncaro Verdicchio dei Castelli di Jesi DOC Classi...;4,59;4,39;750 ml;Vino, Birra e Alcolici;Vini Bianchi
Cavit Mastri Vernacoli Müller Thurgau Trentino DOC;3,06;2,99;750 ml;Vino, Birra e Alcolici;Vini Bianchi
freschello Bianco Vivo;2,59;1,35;750 ml;Vino, Birra e Alcolici;Vini Bianchi
Frescobaldi, Rèmole Toscana rosso;5,69;4,00;750 ml;Vino, Birra e Alcolici;Vini Rossi
Riunite l'Olma, Lambrusco Reggiano DOC;5,49;2,69;750 ml;Vino, Birra e Alcolici;Vini Rossi
Bolla Ripasso Valpolicella DOC Classico Superiore;9,98;7,49;750 ml;Vino, Birra e Alcolici;Vini Rossi
Cavicchioli, Lambrusco di Sorbara DOC secco;5,00;1,00;750 ml;Vino, Birra e Alcolici;Vini Rossi
Vino Rosso;1,19;0,99;1000 ml;Vino, Birra e Alcolici;Vini Rossi
Notte Rossa Negroamaro Salento IGP;4,45;3,19;750 ml;Vino, Birra e Alcolici;Vini Rossi
Tenuta Ca' Vescovo Cabernet Sauvignon Friuli DOC A...;5,00;3,99;750 ml;Vino, Birra e Alcolici;Vini Rossi
Galassi Romagna DOC Sangiovese;5,59;3,00;750 ml;Vino, Birra e Alcolici;Vini Rossi
Duchessa Lia Dolcetto d'Alba;9,50;5,00;750 ml;Vino, Birra e Alcolici;Vini Rossi
Settesoli Nero d'Avola Sicilia DOC;4,00;2,99;750 ml;Vino, Birra e Alcolici;Vini Rossi
Banfi, Chianti Classico DOCG;9,40;5,85;750 ml;Vino, Birra e Alcolici;Vini Rossi
Nino Negri, Sassella Valtellina Superiore DOCG;11,39;7,90;750 ml;Vino, Birra e Alcolici;Vini Rossi
Barbera;3,99;1,99;750 ml;Vino, Birra e Alcolici;Vini Rossi
Montepulciano d'Abruzzo Dop;4,10;2,49;750 ml;Vino, Birra e Alcolici;Vini Rossi
Vino Rosso;6,00;1,43;750 ml;Vino, Birra e Alcolici;Vini Rossi
BARBERA D'ALBA DOC;8,77;5,00;750 ml;Vino, Birra e Alcolici;Vini Rossi
CHIANTI DOCG;4,49;3,99;750 ml;Vino, Birra e Alcolici;Vini Rossi
BONARDA OLTREPO' PAVESE DOC;2,99;2,19;750 ml;Vino, Birra e Alcolici;Vini Rossi
Tenute del Cerro Fattoria del Cerro Vino Nobile di...;10,99;7,00;750 ml;Vino, Birra e Alcolici;Vini Rossi
Florio Marsala superiore secco Vecchioflorio;6,69;5,00;750 ml;Vino, Birra e Alcolici;Vini Rossi
Tenuta Ca' Vescovo Sauvignon Superiore Friuli DOC...;5,00;3,99;750 ml;Vino, Birra e Alcolici;Vini Rossi
Civ&Civ Enologo Lambrusco Grasparossa di Castelvet...;4,19;2,33;750 ml;Vino, Birra e Alcolici;Vini Rossi
Civ&Civ Enologo Lambrusco di Sorbara DOC Secco;4,00;2,39;750 ml;Vino, Birra e Alcolici;Vini Rossi
Barolo DOCG Morra;20,20;5,45;750 ml;Vino, Birra e Alcolici;Vini Rossi
Mezzacorona Teroldego Rotaliano DOC;5,49;3,79;750 ml;Vino, Birra e Alcolici;Vini Rossi
Corvo Rosso Terre Siciliane IGT;5,79;3,98;750 ml;Vino, Birra e Alcolici;Vini Rossi
Mantellassi, Morellino di Scansano DOCG;6,90;5,00;750 ml;Vino, Birra e Alcolici;Vini Rossi
Clavesana, Dogliani;5,54;2,00;750 ml;Vino, Birra e Alcolici;Vini Rossi
Umberto Cesari, Sangiovese di Romagna riserva DOC;11,50;10,50;750 ml;Vino, Birra e Alcolici;Vini Rossi
Cesari Amarone della Valpolicella, Il Bosco classi...;37,90;23,90;750 ml;Vino, Birra e Alcolici;Vini Rossi
Tasca, d'Almerita Regaleali Nero d'avola;7,99;7,90;750 ml;Vino, Birra e Alcolici;Vini Rossi
Gutturnio Doc;4,60;4,00;1500 ml;Vino, Birra e Alcolici;Vini Rossi
Tavernello, Rosato frizzante;3,39;1,59;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Lamberti, Turá Rosa delle Venezie frizzante;3,40;2,39;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Rosé;4,79;3,30;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Chiaretto del Garda Doc;6,40;5,99;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Hisotelaray Negroamaro Rosato Salento Igt;6,20;4,96;...;Vino, Birra e Alcolici;Vini Rosè - Rosati
SPUMANTE ROSE' EXTRA DRY;3,49;2,99;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Santa Cristina, Rosato Toscana;5,90;5,50;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Mateus Rosé;3,90;3,66;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Monferrato Doc Chiaretto;4,99;3,59;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Vino Rosato;10,99;4,90;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Sergio Rose' Spumante Extra Dry;7,49;6,99;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Gotto d'oro Castelli Romani DOC Vino Rosato;3,79;2,49;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Lamberti, Dieci Rosato delle Venezie;4,00;3,00;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Cavicchioli, Lambrusco di Sorbara rosé DOC amabile;;4,49;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Ca' dei Frati, Rosa dei Frati DOC Riviera del Gard...;;17,62;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Cantine Maschio, Pinot Rosa Veneto frizzante;;3,89;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Guerrieri-Rizzardi, Bardolino DOP Chiaretto Classi...;;6,39;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Cantina Valpolicella Negrar, Bardolino Chiaretto;;5,39;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Cantine di Dolianova, Sibiola;4,10;2,46;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Citra, Villa Torre Cerasuolo d'Abruzzo DOP;;4,49;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Citra, Cerasuolo;;5,99;1,5 l;Vino, Birra e Alcolici;Vini Rosè - Rosati
Tormaresca Calafuria Salento IGT;;13,50;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
VINO BARDOLINO CHIARETTO DOC;4,29;2,99;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
VINO TUA ROSA ROSATO TOSCANA IGT;4,48;3,58;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Château Mas Audibert, Gordonne Cotês de Provence;;11,90;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Casal Mendes, Rosé;4,19;2,93;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Marchesi Antinori, Scalabrone Bolgheri rosato;;13,90;;Vino, Birra e Alcolici;Vini Rosè - Rosati
Leone de Castris, Five Roses 70° Anniversario;;12,90;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Costaripa, RosaMara;;15,90;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
CONFEZIONE TUA ROSA IGT;17,90;9,90;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
NEGROAMARO ROSATO IGP;5,49;3,99;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
VINO ROSATO FRIZZANTE;;4,09;750 ml;Vino, Birra e Alcolici;Vini Rosè - Rosati
Fragolino Rosso;5,45;4,10;750 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Moscato d'Asti Docg;7,50;3,99;750 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
RECIOTO DI SOAVE DOCG;11,50;9,90;500 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Frescobaldi Santo Spirito 11;6,05;5,25;750 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Pellegrino Zibibbo Terre Siciliane IGP;5,49;4,39;750 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Spumante Asti;5,02;4,72;750 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Brachetto d'Acqui;6,25;4,99;750 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Moscato d'Asti Docg Vegan;8,25;4,43;750 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Pellegrino, Passito liquoroso Pantelleria;8,29;7,89;500 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Pellegrino, Moscato liquoroso Pantelleria;6,99;6,65;500 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Barolo Chinato;21,90;19,89;500 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Florio, Grecale Moscato liquoroso;;5,19;500 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Cantine Pellegrino, Zibibbo;;5,10;500 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Cantine Pellegrino, Moscato;;5,10;500 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
ASTI SPUMANTE DOCG;4,49;3,49;750 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Alagna, Cremovo;;4,59;1000 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Alagna, Marsala fine;;3,69;1000 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Kellerei Kaltern, Goldmuskateller Moscato Giallo A...;;7,90;750 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Torrevilla, Sangue di Giuda dell'Oltrepò Pavese;;7,18;750 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Sandeman, LBV Porto;14,50;10,15;750 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Presidential, Porto Ruby;;7,59;750 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Florio VecchioFlorio, Marsala superiore secco;;8,89;1000 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Barton & Guestier, Sauternes;;16,99;750 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Cantina Valpolicella Negrar, Recioto della Valpoli...;;14,99;500 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Azienda Agricola Tacinaia, Vin Santo del Chianti D...;;8,39;500 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Terredavino, Il Diavolo sulle colline Barolo china...;;19,90;37,5 cl;Vino, Birra e Alcolici;Vini dolci e liquorosi
SPUMANTE DOLCE;;1,99;750 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
ZIBIBBO SICILIA IGT;;6,09;500 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
VINO LIQUOROSO;;4,99;750 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
PORTO ROSSO;;9,16;750 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
PORTO;;8,33;750 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
MOSCATO SICILIA IGT;;4,99;500 ml;Vino, Birra e Alcolici;Vini dolci e liquorosi
Mini Super Gusto Stracciatella;2,52;2,50;325 g;Surgelati e Gelati;Biscotti e snack gelati
Snack Gelato Alla Vaniglia Ricoperto Di Cioccolato...;2,62;2,49;250 g;Surgelati e Gelati;Biscotti e snack gelati
Gelato Biscotto Al Gusto Vaniglia;2,39;2,29;400 g;Surgelati e Gelati;Biscotti e snack gelati
Algida - Cucciolone Classico;5,49;2,81;480 g;Surgelati e Gelati;Biscotti e snack gelati
ICE CREAM SANDWICH;5,09;2,77;210 g;Surgelati e Gelati;Biscotti e snack gelati
MAXIBON MINI CLASSIC;3,99;2,53;324 g;Surgelati e Gelati;Biscotti e snack gelati
WAFFLE BLONDE CARAMEL;3,99;2,79;240 g;Surgelati e Gelati;Biscotti e snack gelati
WAFFLE DARK BERRY;3,99;2,79;240 g;Surgelati e Gelati;Biscotti e snack gelati
STICK SANDWICH;3,69;2,58;204 g;Surgelati e Gelati;Biscotti e snack gelati
BARRETTA ICE CREAM;3,79;3,03;167 g;Surgelati e Gelati;Biscotti e snack gelati
BARRETTA ICE CREAM;3,79;2,65;156 g;Surgelati e Gelati;Biscotti e snack gelati
Esselunga, minibiscotto alla panna;;3,09;240 g;Surgelati e Gelati;Biscotti e snack gelati
Esselunga, MiniSnack biscottogelato;;3,59;440 g;Surgelati e Gelati;Biscotti e snack gelati
Esselunga, biscotto panna e cacao;;3,09;400 g;Surgelati e Gelati;Biscotti e snack gelati
Esselunga, biscotto alla panna;;3,09;400 g;Surgelati e Gelati;Biscotti e snack gelati
Algida l'Originale Cucciolone Mini;;4,99;270 g;Surgelati e Gelati;Biscotti e snack gelati
CUCCIOLONE MINI DONUTS;3,99;2,66;240 g;Surgelati e Gelati;Biscotti e snack gelati
CEREAL MIX;3,32;1,99;380 g;Surgelati e Gelati;Biscotti e snack gelati
BUENO BAR;4,99;2,66;128 g;Surgelati e Gelati;Biscotti e snack gelati
BARRETTA PROTEICA;4,79;3,19;200 g;Surgelati e Gelati;Biscotti e snack gelati
CUCCIOLONE;4,29;2,79;640 g;Surgelati e Gelati;Biscotti e snack gelati
OSVEGO GELATO CON CIOCCOLATO;3,69;2,37;160 g;Surgelati e Gelati;Biscotti e snack gelati
BISCOTTI BICOLORE;1,59;0,99;280 - 4 porzioni;Surgelati e Gelati;Biscotti e snack gelati
UAU! VANIGLIA;;4,79;250 g;Surgelati e Gelati;Biscotti e snack gelati
UAU! CIOCCOLATO;;4,79;250 g;Surgelati e Gelati;Biscotti e snack gelati
GELATO COOKIE;2,49;1,74;288 g;Surgelati e Gelati;Biscotti e snack gelati
Magnum, Mini White Chocolate & Cookies;4,15;2,49;316 g;Surgelati e Gelati;Biscotti e snack gelati
BISCOTTO GELATO FRUTTI BOSCO S/G;3,59;2,51;208 g;Surgelati e Gelati;Biscotti e snack gelati
BISCOTTO GUSTO PANNA;2,19;1,46;400 g;Surgelati e Gelati;Biscotti e snack gelati
OSVEGO GELATO;3,69;2,37;160 g;Surgelati e Gelati;Biscotti e snack gelati
Maxi Biscotto Trigusto Gusto Panna, Cioccolato e Z...;;2,00;;Surgelati e Gelati;Biscotti e snack gelati
Snack Gelato al Cocco Ricoperto di Cioccolato al L...;;2,49;250 g;Surgelati e Gelati;Biscotti e snack gelati
Cornetto Classico 6 pezzi;7,19;2,79;480 g;Surgelati e Gelati;Coni e Stecchi
Sammontana Cono Cinque Stelle Ciliegia;3,69;2,47;450 g;Surgelati e Gelati;Coni e Stecchi
Cornetto Algida Caramello;3,38;1,95;375 g;Surgelati e Gelati;Coni e Stecchi
Cornetto Algida Classico;3,99;1,75;375 g;Surgelati e Gelati;Coni e Stecchi
Sammontana Cono Cinque Stelle Croccantino;5,19;2,33;450 g;Surgelati e Gelati;Coni e Stecchi
Bianco;3,59;3,09;;Surgelati e Gelati;Coni e Stecchi
Sammontana Cono Cinque Stelle Panna;2,47;1,46;450 g;Surgelati e Gelati;Coni e Stecchi
Magnum Mini Pistacchio - Nocciola;4,85;3,25;352 g;Surgelati e Gelati;Coni e Stecchi
Sammontana Cono Cinque Stelle Caffè;3,39;2,50;450 g;Surgelati e Gelati;Coni e Stecchi
Sammontana Cono Cinque Stelle Panna;5,19;2,29;450 g;Surgelati e Gelati;Coni e Stecchi
Magnum Mini Double Caramel Chocolate;4,05;2,29;292 g;Surgelati e Gelati;Coni e Stecchi
Cornetto, Mini classico;5,29;3,99;288 g;Surgelati e Gelati;Coni e Stecchi
Gelato mandorla e Stracciatella Valsoia;3,49;1,99;300 g;Surgelati e Gelati;Coni e Stecchi
CONO FIOR DI PANNA;5,39;3,77;58 g;Surgelati e Gelati;Coni e Stecchi
ICE CREAM STICK;4,49;2,99;270 g;Surgelati e Gelati;Coni e Stecchi
BUENO ICE CREAM MINI CONE;4,99;1,00;240 g;Surgelati e Gelati;Coni e Stecchi
BUENO ICE CREAM CONE;4,99;1,00;240 g;Surgelati e Gelati;Coni e Stecchi
Magnum - Mini Pistacchio/Gianduia;4,69;3,99;44 g;Surgelati e Gelati;Coni e Stecchi
CUCCIOLONE MINI;4,99;3,89;33,8 g;Surgelati e Gelati;Coni e Stecchi
Mini Stecchi Vaniglia & Cacao Ricoperti Di Cioccol...;2,49;1,86;300 g;Surgelati e Gelati;Coni e Stecchi
Cono Alla Panna;2,35;1,68;300 g;Surgelati e Gelati;Coni e Stecchi
Mini Delizie;2,73;2,64;300 g;Surgelati e Gelati;Coni e Stecchi
Gelato Pralinato Con Cuore All'amarena;2,45;2,39;360 g;Surgelati e Gelati;Coni e Stecchi
Gelato Alla Panna Ricoperto Al Cacao;2,29;1,70;270 g;Surgelati e Gelati;Coni e Stecchi
Cono Alla Panna E Cioccolato;2,59;2,49;450 g;Surgelati e Gelati;Coni e Stecchi
Cono Alla Panna;2,59;2,49;450 g;Surgelati e Gelati;Coni e Stecchi
Cono Alla Amarena;2,59;2,49;450 g;Surgelati e Gelati;Coni e Stecchi
CONO PANNA;1,99;1,33;450 g;Surgelati e Gelati;Coni e Stecchi
Magnum Almond mandorle 4 pezzi;3,09;2,16;328 g;Surgelati e Gelati;Coni e Stecchi
Valsoia Bontà e Salute il Gelato 4 Coni;2,38;1,31;300 g;Surgelati e Gelati;Coni e Stecchi
Cremino 8 pezzi;3,28;2,39;336 g;Surgelati e Gelati;Coni e Stecchi
Mixmini Fragola-cocco-nocciola-classico 8 Pezzi;4,65;2,99;480 ml;Surgelati e Gelati;Coni e Stecchi
Sammontana Coppa Oro Amarena;3,00;1,65;360 g;Surgelati e Gelati;Coppe
Gelato Affogato Al Cioccolato;1,30;0,90;105 g;Surgelati e Gelati;Coppe
Coppa Oro Cioccolato;2,51;2,29;360 g;Surgelati e Gelati;Coppe
Gelato Al Limone;0,94;0,90;80 g;Surgelati e Gelati;Coppe
Gelato Affogato All'amarena;0,94;0,90;80 g;Surgelati e Gelati;Coppe
COPPE GELATO AMARENA;2,99;2,09;90 g;Surgelati e Gelati;Coppe
COPPE GELATO TIRAMISU';2,99;2,09;90 g;Surgelati e Gelati;Coppe
Esselunga, coppette fior di latte & cacao;;3,59;400 g;Surgelati e Gelati;Coppe
Esselunga, coppe al caffè;;2,99;280 g;Surgelati e Gelati;Coppe
BON BON PISTACCHIO;2,35;1,99;180 g;Surgelati e Gelati;Coppe
BON BON NOCCIOLA;2,35;1,99;20 pz;Surgelati e Gelati;Coppe
BON BON FIORDILATTE;2,35;1,99;180 g;Surgelati e Gelati;Coppe
GELATO TIRAMISU';2,59;1,73;75 g;Surgelati e Gelati;Coppe
GELATO AMARENA/ZABAIONE;2,59;1,73;75 g;Surgelati e Gelati;Coppe
Coppa del Nonno Cappuccino Gelato alla Panna e al...;3,19;1,99;1000 g;Surgelati e Gelati;Coppe
Gelato al Caffè;;0,90;80 g;Surgelati e Gelati;Coppe
Bio Nocciola;;1,29;;Surgelati e Gelati;Coppe
Coppa Oro Amarena;;2,29;360 g;Surgelati e Gelati;Coppe
Coppe Vaniglia Amarena 4pz;;2,29;350 g;Surgelati e Gelati;Coppe
Coppe al Caffe' 4pz;;1,99;280 g;Surgelati e Gelati;Coppe
Coppe Panna Cacao 6pz;;1,99;330 g;Surgelati e Gelati;Coppe
GELATO SOIA COPPA CAFFE';3,99;2,99;280 g;Surgelati e Gelati;Coppe
GELATO COPPE AL CAFFE';1,79;1,19;280 g;Surgelati e Gelati;Coppe
COPPETTA GELATO PANNA&CIOCCOLATO;1,69;1,33;300 g;Surgelati e Gelati;Coppe
Coppa del Nonno, gusto classico;;2,39;288 g;Surgelati e Gelati;Coppe
Minicup Strawberry & Cream;;2,60;81 g;Surgelati e Gelati;Coppe
Minicup Cookies&cream;;2,60;78 g;Surgelati e Gelati;Coppe
Yogurteria o Frozen Yogurt Caramello Salato;;1,49;80 g;Surgelati e Gelati;Coppe
Belgian Chocolate;;2,49;81 g;Surgelati e Gelati;Coppe
Coppetta Gelato Affogato Spagnola;;0,69;80 g;Surgelati e Gelati;Coppe
Coppa Gelato Affogato al Cioccolato;;0,69;80 g;Surgelati e Gelati;Coppe
Gelato Skyr Naturale;;1,39;166 g;Surgelati e Gelati;Coppe
tonitto il Sorbetto limone Primofiore;3,19;1,99;310 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Carte d'Or Affogato Profiterole al Cioccolato;4,09;1,00;500 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
tonitto il Sorbetto mango&passion con Mango Alphon...;3,29;3,10;310 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Algida Summer mix 10 pezzi;4,59;3,21;644 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Sammontana, Barattolino panna;2,99;2,56;500 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Fruttolosi Fragola Mela Verde;2,39;2,29;360 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Lemoniq Gelato Al Limone Con Stecco Di Liquirizia;2,08;1,99;480 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Ghiaccioli Assortiti Limone Menta Arancia Amarena;2,05;2,00;700 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Sorbetto Ai Limoni Di Sicilia;2,50;1,80;300 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Ringo Gelato snack gusto vaniglia;2,99;1,79;280 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Ice Limone 4 x 80 g;2,69;2,49;320 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Sorbetto More Mirt Tonit;3,29;3,10;310 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Granigel con Succo di Fragola;;1,49;;Surgelati e Gelati;Sorbetti e Ghiaccioli
Granigel con Succo di Limoni di Sicilia;1,49;1,09;;Surgelati e Gelati;Sorbetti e Ghiaccioli
Sammontana, Fruttiamo frutta in pezzi fragola;3,49;2,44;280 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Sammontana, Fruttiamo frutta in pezzi pesca;3,49;2,44;280 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Sammontana Cono Cinque Stelle Cioccolato;2,95;2,49;450 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Sammontana Cinque Stelle Croccantino;2,99;1,79;500 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Maxibon, Mini;3,99;2,79;325 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Carte D'Or Affogato Triplo;4,49;2,29;500 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
EsseGel, Quelli di una volta ghiaccioli assoriti;;2,79;700 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Foglia Verde, Sorbetti Mango;2,49;1,49;280 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Sammontana, Levia ghiaccioli;;3,69;400 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Calippo Max super mix 5 pezzi;;4,69;525 ml;Surgelati e Gelati;Sorbetti e Ghiaccioli
Ice Cube, ghiaccio alimentare in cubetti pronti al...;;2,29;1,25 kg;Surgelati e Gelati;Sorbetti e Ghiaccioli
Magnum Mini Classic Almond White;5,99;3,99;297 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
CUBERS TRITATO;1,59;1,11;1000 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
SORBETTI MISTI;2,59;1,81;560 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
GHIACCHIOLI MIX;4,29;3,00;30 pz;Surgelati e Gelati;Sorbetti e Ghiaccioli
Dolfin, Polaretti Fruit blu;2,99;1,99;400 ml;Surgelati e Gelati;Sorbetti e Ghiaccioli
STECCO LATTEMENTA;1,99;1,39;300 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
AVENGERS SUPER HEROES ICES;5,29;3,70;512 g;Surgelati e Gelati;Sorbetti e Ghiaccioli
Profiteroles;6,80;4,69;500 g;Surgelati e Gelati;Torte e Dessert
Viennetta Vaniglia;2,75;2,19;360 g;Surgelati e Gelati;Torte e Dessert
MERINGATA;7,49;3,33;400 g;Surgelati e Gelati;Torte e Dessert
Tiramisù;2,29;1,55;500 g;Surgelati e Gelati;Torte e Dessert
TIRAMISU';3,95;2,00;400 g;Surgelati e Gelati;Torte e Dessert
Tartufo Bianco;2,45;1,83;160 g;Surgelati e Gelati;Torte e Dessert
Torta Gelato Panna E Cioccolato;4,99;3,62;700 g;Surgelati e Gelati;Torte e Dessert
Dessert Al Gusto Di Cacao E Vaniglia;2,20;1,99;320 g;Surgelati e Gelati;Torte e Dessert
Magnum Bomboniera Classic Almond White 12 gelati;4,19;2,25;104 g;Surgelati e Gelati;Torte e Dessert
PROFITEROLE SCURO;7,90;5,46;540 g;Surgelati e Gelati;Torte e Dessert
Algida - Viennetta - Tiramisu;4,49;3,19;400 g;Surgelati e Gelati;Torte e Dessert
SIGARI E VENTAGLI;1,49;0,99;100 g;Surgelati e Gelati;Torte e Dessert
Gelati Aloha, Frutteto Gelato 3 noci + 3 castagne...;;5,99;160 g;Surgelati e Gelati;Torte e Dessert
Sammontana, Duchessa torta gelato;;8,29;750 g;Surgelati e Gelati;Torte e Dessert
Dolci Regali, Profiteroles al cacao congelato;;5,39;500 g;Surgelati e Gelati;Torte e Dessert
SORBETTO AL MELONE;1,49;1,04;275 g;Surgelati e Gelati;Torte e Dessert
FAGOTTINO CIOCCOLATO;2,99;2,09;6 pz;Surgelati e Gelati;Torte e Dessert
POLAR FRUIT GIRL GREEN S/G;2,99;1,99;420 ml;Surgelati e Gelati;Torte e Dessert
TORTINO CIOCCOLATO;3,69;2,25;100 g;Surgelati e Gelati;Torte e Dessert
QUADROTTO PISTACCHIO;3,79;2,59;75 g;Surgelati e Gelati;Torte e Dessert
FAGOTTINO CREMA;2,99;2,09;6 pz;Surgelati e Gelati;Torte e Dessert
Dolci Regali, Meringata;;8,09;400 g;Surgelati e Gelati;Torte e Dessert
L'arte del gelato, Zuccotto;;8,56;400 g;Surgelati e Gelati;Torte e Dessert
Esselunga, Dessert panna;;2,79;320 g;Surgelati e Gelati;Torte e Dessert
Esselunga Top, Strudel di mele surgelato;;4,49;600 g;Surgelati e Gelati;Torte e Dessert
Magnum, Bomboniera classic;;4,19;104 ml;Surgelati e Gelati;Torte e Dessert
Sammontana Torta Frutti Di Bosco;6,69;4,01;500 g;Surgelati e Gelati;Torte e Dessert
CORNETTO ALBICOCCA;2,99;2,09;6 pz;Surgelati e Gelati;Torte e Dessert
SORBETTO AL MANDARINO;1,39;0,86;275 g;Surgelati e Gelati;Torte e Dessert
SORBETTO AL LIMONE;1,39;0,86;275 g;Surgelati e Gelati;Torte e Dessert
Frozen Yogurt Greco Cioccolato;2,99;1,79;320 g;Surgelati e Gelati;Torte e Dessert
Frozen Yogurt Greco Bianco;2,99;1,79;320 g;Surgelati e Gelati;Torte e Dessert
Sammontana Le Delizie Barattolino Delizia di Nocci...;3,95;2,25;500 g;Surgelati e Gelati;Vaschette
Gelato Alla Crema Biologico;3,49;2,09;300 g;Surgelati e Gelati;Vaschette
Sammontana Barattolino Crema;2,99;1,00;500 g;Surgelati e Gelati;Vaschette
Carte d'Or Affogato al Cioccolato;3,65;2,69;500 g;Surgelati e Gelati;Vaschette
Crema Fiorentina;2,92;2,39;600 g;Surgelati e Gelati;Vaschette
Carte D'Or Affogato alla fragola con meringhe;3,95;2,29;500 g;Surgelati e Gelati;Vaschette
Sammontana Le Delizie Barattolino Stracciatella;3,55;1,89;500 g;Surgelati e Gelati;Vaschette
