Name;Full Price;Current Price;Quantity;Category;Subcategory
Tortellini Freschi Con Prosciutto Crudo;1,39;1,00;250 g;Pasta e Riso;Pasta Ripiena
Tortellini Freschi Alla Carne;1,39;1,00;250 g;Pasta e Riso;Pasta Ripiena
Ravioli di Zucca;3,45;2,79;250 g;Pasta e Riso;Pasta Ripiena
Ravioli Di Zucca;3,45;2,24;250 g;Pasta e Riso;Pasta Ripiena
Tortelloni Freschi Con Ricotta E Spinaci;1,55;1,39;250 g;Pasta e Riso;Pasta Ripiena
Tortelloni Freschi Con Funghi Porcini;1,55;1,39;250 g;Pasta e Riso;Pasta Ripiena
Tortellini Freschi Alla Carne;1,55;1,39;250 g;Pasta e Riso;Pasta Ripiena
Tortellini Alla Bolognese;3,49;2,24;250 g;Pasta e Riso;Pasta Ripiena
Barilla Emiliane Cappelletti con Carne;3,49;0,89;250 g;Pasta e Riso;Pasta Ripiena
Giovanni Rana Sfogliavelo Carne;2,75;2,29;250 g;Pasta e Riso;Pasta Ripiena
Giovanni Rana Gioiaverde carciofi;2,65;1,59;250 g;Pasta e Riso;Pasta Ripiena
Giovanni Rana Sfogliagrezza Lasagne fresche all'uo...;3,79;1,00;250 g;Pasta e Riso;Pasta all'uovo fresca
Giovanni Rana Sfogliavelo Lasagne fresche all'uovo...;4,29;0,95;250 g;Pasta e Riso;Pasta all'uovo fresca
Giovanni Rana Sfogliagrezza Pappardelle;1,75;0,99;250 g;Pasta e Riso;Pasta all'uovo fresca
Giovanni Rana Sfogliavelo Brasato;2,63;1,49;250 g;Pasta e Riso;Pasta all'uovo fresca
Lasagne Fresche all'Uovo;1,08;1,00;250 g;Pasta e Riso;Pasta all'uovo fresca
Lasagne Fresche Pasta All'uovo;1,45;1,08;250 g;Pasta e Riso;Pasta all'uovo fresca
Tagliolini Freschi All'uovo;0,89;0,79;250 g;Pasta e Riso;Pasta all'uovo fresca
Tagliatelle Fresche All'uovo;0,99;0,79;250 g;Pasta e Riso;Pasta all'uovo fresca
TAGLIOLINI ALL'UOVO;1,39;0,75;250 g;Pasta e Riso;Pasta all'uovo fresca
TAGLIATELLE ALL'UOVO;1,19;0,99;250 g;Pasta e Riso;Pasta all'uovo fresca
Pappardelle Fresche All'uovo;0,99;0,79;250 g;Pasta e Riso;Pasta all'uovo fresca
Esselunga Top, Lasagne;2,83;1,69;500 g;Pasta e Riso;Pasta all'uovo fresca
Esselunga Top, lasagne sfoglia rustica;1,49;1,04;250 g;Pasta e Riso;Pasta all'uovo fresca
La Selezione Emiliana Tagliatelle Fresche;;1,99;250 g;Pasta e Riso;Pasta all'uovo fresca
Esselunga Top, Tagliolini;;1,49;250 g;Pasta e Riso;Pasta all'uovo fresca
Esselunga Top, Tagliatelle rustiche;;1,49;250 g;Pasta e Riso;Pasta all'uovo fresca
